CAGDP9 Real GDP by county and metropolitan area 1/
CAGDP9 Real GDP by county and metropolitan area 1/
County
GeoFips,GeoName,LineCode,Description,2015,2016,2017,2018,2019,2020
29003,"Andrew, MO",2,"  Private industries",205337,229635,234787,220509,270566,262552
29003,"Andrew, MO",3,"    Agriculture, forestry, fishing and hunting",6814,52530,59722,36534,65149,65282
29003,"Andrew, MO",6,"    Mining, quarrying, and oil and gas extraction",6030,7581,8116,8393,8152,7998
29003,"Andrew, MO",10,"    Utilities",4181,4992,5033,5508,3998,2846
29003,"Andrew, MO",11,"    Construction",18091,18180,15352,15334,16555,17751
29003,"Andrew, MO",12,"    Manufacturing",3746,5560,6812,9120,9025,7252
29003,"Andrew, MO",13,"      Durable goods manufacturing",1991,2038,1938,2454,2179,2143
29003,"Andrew, MO",25,"      Nondurable goods manufacturing",1872,3952,5599,7659,7857,5763
29003,"Andrew, MO",34,"    Wholesale trade",14618,13135,11596,13043,9843,10526
29003,"Andrew, MO",35,"    Retail trade",18615,18666,18622,20352,24458,23901
29003,"Andrew, MO",36,"    Transportation and warehousing",(D),(D),(D),(D),(D),(D)
29003,"Andrew, MO",45,"    Information",8336,9530,(D),(D),12655,14107
29003,"Andrew, MO",50,"    Finance, insurance, real estate, rental, and leasing",69963,60606,60595,56135,63888,66102
29003,"Andrew, MO",51,"      Finance and insurance",12925,9508,7624,8532,8033,8674
29003,"Andrew, MO",56,"      Real estate and rental and leasing",56891,51020,53008,47466,55955,57479
29003,"Andrew, MO",59,"    Professional and business services",(D),15535,16236,16853,(D),29970
29003,"Andrew, MO",60,"      Professional, scientific, and technical services",(D),(D),(D),(D),(D),(D)
29003,"Andrew, MO",64,"      Management of companies and enterprises",(D),(D),(D),(D),(D),(D)
29003,"Andrew, MO",65,"      Administrative and support and waste management and remediation services",7032,7089,7537,7933,8662,8045
29003,"Andrew, MO",68,"    Educational services, health care, and social assistance",(D),(D),13630,14203,14221,12409
29003,"Andrew, MO",69,"      Educational services",(D),(D),(D),(D),(D),(D)
29003,"Andrew, MO",70,"      Health care and social assistance",(D),(D),(D),(D),(D),(D)
29003,"Andrew, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",4394,3813,4240,3372,3938,(D)
29003,"Andrew, MO",76,"      Arts, entertainment, and recreation",2057,1689,2104,1204,1301,(D)
29003,"Andrew, MO",79,"      Accommodation and food services",2347,2130,2155,2150,2608,(D)
29003,"Andrew, MO",82,"    Other services (except government and government enterprises)",11151,10357,(D),11520,11696,10983
29003,"Andrew, MO",83,Government and government enterprises,39615,40201,40682,40600,40356,39729
29003,"Andrew, MO",,Addenda:,,,,,,
29003,"Andrew, MO",87,Natural resources and mining,12861,58737,66216,44523,71106,71032
29003,"Andrew, MO",88,Trade,33234,31793,30185,33372,33962,34134
29003,"Andrew, MO",89,Transportation and utilities,(D),(D),(D),(D),(D),(D)
29003,"Andrew, MO",90,Manufacturing and information,12128,15279,(D),(D),22133,21435
29003,"Andrew, MO",91,Private goods-producing industries 2/,37598,77619,81385,66920,89186,88824
29003,"Andrew, MO",92,Private services-providing industries 3/,165838,154439,156185,154943,184101,176806
29005,"Atchison, MO",1,All industry total,189914,274618,258267,279877,302486,309676
29005,"Atchison, MO",2,"  Private industries",168739,253934,237535,259235,282818,291400
29005,"Atchison, MO",3,"    Agriculture, forestry, fishing and hunting",7378,103591,71870,31756,85276,99204
29005,"Atchison, MO",6,"    Mining, quarrying, and oil and gas extraction",6,5,6,6,4,4
29005,"Atchison, MO",10,"    Utilities",19442,23408,29961,61072,64223,69453
29005,"Atchison, MO",11,"    Construction",5142,4228,4076,(D),3557,5696
29005,"Atchison, MO",12,"    Manufacturing",1270,982,794,(D),700,671
29005,"Atchison, MO",13,"      Durable goods manufacturing",(D),(D),(D),239,(D),(D)
29005,"Atchison, MO",25,"      Nondurable goods manufacturing",(D),(D),(D),(D),(D),(D)
29005,"Atchison, MO",34,"    Wholesale trade",22506,26446,27052,22989,19718,19996
29005,"Atchison, MO",35,"    Retail trade",8251,8322,7914,8089,8016,7467
29005,"Atchison, MO",36,"    Transportation and warehousing",19665,22676,25835,22009,9584,8745
29005,"Atchison, MO",45,"    Information",3578,3510,3352,3624,3978,3445
29005,"Atchison, MO",50,"    Finance, insurance, real estate, rental, and leasing",37448,32499,30115,32730,32445,32371
29005,"Atchison, MO",51,"      Finance and insurance",10517,9831,8024,10748,10077,10591
29005,"Atchison, MO",56,"      Real estate and rental and leasing",27113,22746,22338,21812,22342,21626
29005,"Atchison, MO",59,"    Professional and business services",7456,7334,7437,31114,28158,22097
29005,"Atchison, MO",60,"      Professional, scientific, and technical services",5953,5965,(D),(D),6834,(D)
29005,"Atchison, MO",64,"      Management of companies and enterprises",0,0,0,24627,21111,14670
29005,"Atchison, MO",65,"      Administrative and support and waste management and remediation services",1523,1399,(D),(D),1199,(D)
29005,"Atchison, MO",68,"    Educational services, health care, and social assistance",12799,13270,14400,15142,15577,13916
29005,"Atchison, MO",69,"      Educational services",13,3,0,20,37,28
29005,"Atchison, MO",70,"      Health care and social assistance",12788,13269,14403,15123,15541,13889
29005,"Atchison, MO",75,"    Arts, entertainment, recreation, accommodation, and food services",4250,4027,3973,3578,3273,2929
29005,"Atchison, MO",76,"      Arts, entertainment, and recreation",387,421,396,417,366,275
29005,"Atchison, MO",79,"      Accommodation and food services",3860,3605,3575,3163,2909,2651
29005,"Atchison, MO",82,"    Other services (except government and government enterprises)",4419,4116,4208,4201,4212,4003
29005,"Atchison, MO",83,Government and government enterprises,20304,20611,20490,20628,20027,18947
29005,"Atchison, MO",,Addenda:,,,,,,
29005,"Atchison, MO",87,Natural resources and mining,7388,103656,71916,31780,85329,99268
29005,"Atchison, MO",88,Trade,30772,34795,35007,31055,27644,27409
29005,"Atchison, MO",89,Transportation and utilities,38978,45935,55607,82722,73277,77572
29005,"Atchison, MO",90,Manufacturing and information,4730,4356,3999,(D),4458,3936
29005,"Atchison, MO",91,Private goods-producing industries 2/,15504,104285,74163,36117,85208,101542
29005,"Atchison, MO",92,Private services-providing industries 3/,139584,145141,153617,201938,186635,182759
29007,"Audrain, MO",1,All industry total,993567,1016275,1007980,890191,846959,868166
29007,"Audrain, MO",2,"  Private industries",855368,882303,876501,760300,722196,746441
29007,"Audrain, MO",3,"    Agriculture, forestry, fishing and hunting",45050,115851,135481,50076,71071,138137
29007,"Audrain, MO",6,"    Mining, quarrying, and oil and gas extraction",0,0,0,0,0,0
29007,"Audrain, MO",10,"    Utilities",13853,15666,15733,16560,16171,17715
29007,"Audrain, MO",11,"    Construction",19407,21214,22598,21083,19248,19616
29007,"Audrain, MO",12,"    Manufacturing",367461,360965,317245,257502,225358,209123
29007,"Audrain, MO",13,"      Durable goods manufacturing",158679,174426,186129,153647,150341,140367
29007,"Audrain, MO",25,"      Nondurable goods manufacturing",208690,186548,131423,104092,75057,68789
29007,"Audrain, MO",34,"    Wholesale trade",43899,47989,51831,52848,50747,49133
